systemove_cislo;druh_dokumentu;autori;autori_puvodni;nazev;zdroj_dok;cislovani;isbn;issn;if;projekt;vz;rvo;odevzdani_riv;rok_vydani;rok_sberu;vlastnik;interni_kod;technicke_parametry;ekonomicke_parametry;cislo_patentoveho_spisu;vlastnik_patentu;doi;wos;pubmed;scopus
0087496;C;"Slušný, Stanislav - Vidnerová, Petra - Neruda, Roman";;"Testing Different Evolutionary Neural Networks for Autonomous Robot Control";"Information Technologies - Applications and Theory";"S. 103-108";978-80-969184-7-8;;;"184/2002:GA UK";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;;;;84873949436
0558938;C;"Suchopárová, Gabriela - Vidnerová, Petra - Neruda, Roman - Šmíd, Martin";;"Using a Deep Neural Network in a Relative Risk Model to Estimate Vaccination Protection for COVID-19";"Engineering Applications of Neural Networks";"S. 310-320";978-3-031-08222-1;1865-0929;;;;"RVO:67985807, RVO:67985556";1;2022;2023;UIVT-O;;;;;;10.1007/978-3-031-08223-8_26;000926169100026;;85133002397
0573373;C;"Šíma, Jiří - Vidnerová, Petra - Mrázek, V.";;"Energy Complexity Model for Convolutional Neural Networks (to appear)";"Proceedings of the ICANN 2023 Thirty-Second International Conference on Artificial Neural Networks (INPRINT)";;;;;"GA22-02067S:GA ČR";;RVO:67985807;;2023;2024;UIVT-O;;;;;;;;;
0531580;C;"Vidnerová, Petra - Kalina, Jan - Güney, Y.";;"A Comparison of Robust Model Choice Criteria Within a Metalearning Study";"Analytical Methods in Statistics";"S. 125-141";978-3-030-48813-0;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-48814-7_7;;;85089236730
0561018;A;"Vidnerová, Petra";;"Adversarial examples - vulnerability of machine learning methods and prevention";;;;;;;;RVO:67985807;;2018;2023;UIVT-O;;;;;;;;;
0548678;J;"Vidnerová, Petra - Neruda, Roman";;"Air Pollution Modelling by Machine Learning Methods";Modelling;"Roč. 2, č. 4 (2021), s. 659-674";;;;"GA18-23827S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;10.3390/modelling2040035;;;
0494108;C;"Vidnerová, Petra - Neruda, Roman";;"Asynchronous Evolution of Convolutional Networks";"ITAT 2018: Information Technologies – Applications and Theory. Proceedings of the 18th conference ITAT 2018";"S. 80-85";;1613-0073;;"GA18-23827S:GA ČR - LM2015042:GA MŠk";;RVO:67985807;1;2018;2019;UIVT-O;;;;;;;;;85053820668
0490841;C;"Vidnerová, Petra - Neruda, Roman";;"Deep Networks with RBF Layers to Prevent Adversarial Examples";"Artificial Intelligence and Soft Computing";"S. 257-266";978-3-319-91252-3;0302-9743;;"GA18-23827S:GA ČR - LM2015042:GA MŠk";;RVO:67985807;1;2018;2019;UIVT-O;;;;;;10.1007/978-3-319-91253-0_25;000552718500025;;85048057884
0308979;C;"Vidnerová, Petra - Slušný, Stanislav - Neruda, Roman";;"Emergence chování robotických agentů: neuroevoluce";"Kognice a umělý život VIII";"S. 363-369";978-80-7248-462-1;;;"KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;;;;
0369187;C;"Vidnerová, Petra - Neruda, Roman";;"Evolution of Product Kernels for Regularization  Networks";"Advanced Intelligent Computing";"nevyšlo tiskem";978-3-642-24727-9;0302-9743;;;;;;2011;2013;UIVT-O;;;;;;;;;
0478624;C;"Vidnerová, Petra - Neruda, Roman";;"Evolution Strategies for Deep Neural Network Models Design";"Proceedings ITAT 2017: Information Technologies - Applications and Theory";"S. 159-166";978-1974274741;1613-0073;;"GA15-18108S:GA ČR - LM2015042:GA MŠk";;RVO:67985807;1;2017;2018;UIVT-O;;;;;;;;;85045762849
0469507;C;"Vidnerová, Petra - Neruda, Roman";;"Evolutionary Generation of Adversarial Examples for Deep and Shallow Machine Learning Models";"Proceedings of the The 3rd Multidisciplinary International Social Networks Conference on SocialInformatics 2016, Data Science 2016";;978-1-4503-4129-5;;;"GA15-19877S:GA ČR";;RVO:67985807;1;2016;2017;UIVT-O;;;;;;10.1145/2955129.2955178;;;
0369159;C;"Vidnerová, Petra - Neruda, Roman";;"Evolutionary Learning of Regularization Networks with Multi-kernel Units";"Advances in  Neural Networks –  ISNN 2011. Part I";"S. 538-546";978-3-642-21104-1;0302-9743;;"GAP202/11/1368:GA ČR";CEZ:AV0Z10300504;;1;2011;2012;UIVT-O;;;;;;10.1007/978-3-642-21105-8_62;000301802600062;;79957795865
0369174;C;"Vidnerová, Petra - Neruda, Roman";;"Evolutionary learning of regularization networks with product kernel units";"Systems, Man and Cybernetics";"S. 638-643";978-1-4577-0652-3;1062-922X;;"GAP202/11/1368:GA ČR - KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2011;2012;UIVT-O;;;;;;10.1109/ICSMC.2011.6083783;000298615101031;;"83755183830  "
0321610;C;"Vidnerová, Petra - Slušný, Stanislav - Neruda, Roman";;"Evolutionary Trained Radial Basis Function Networks for Robot Control";"Control, Automation, Robotics and Vision";"S. 833-838";978-1-4244-2286-9;;;"KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2008;2011;UIVT-O;;;;;;10.1109/ICARCV.2008.4795625;000266716600144;;64549096344
0478496;C;"Vidnerová, Petra - Neruda, Roman";;"Evolving Keras Architectures for Sensor Data Analysis";"Proceedings of the 2017 Federated Conference on Computer Science and Information Systems";"S. 109-112";978-83-946253-7-5;2300-5963;;"GA15-18108S:GA ČR";;RVO:67985807;1;2017;2018;UIVT-O;;;;;;10.15439/2017F241;000417412800015;;85039919528
0493715;A;"Vidnerová, Petra - Neruda, Roman";;"Evolving KERAS Architectures for Sensor Data Analysis.";"FedCSIS Book of Abstracts";"S. 30-30";;;;;;;;2017;2019;UIVT-O;;;;;;;;;
0359155;C;"Vidnerová, Petra - Neruda, Roman";;"Evolving Sum and Composite Kernel Functions for Regularization Networks";"Adaptive and Natural Computing Algorithms. Part I";"S. 180-189";978-3-642-20281-0;0302-9743;;"OC10047:GA MŠk - KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2011;2012;UIVT-O;;;;;;10.1007/978-3-642-20282-7_19;000302389300019;;79955088766
0348394;C;"Vidnerová, Petra - Neruda, Roman";;"Genetic Algorithm with Species for Regularization Network Metalearning";"Informačné Technológie - Aplikácie a Teória";"S. 111-116";978-80-970179-3-4;;;"KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2010;2011;UIVT-O;;;;;;;;;
0502575;R;"Vidnerová, Petra";"Iba, H.";"Hitoshi Iba: Evolutionary approach to machine learning and deep neural networks: neuro-evolution and gene regulatory networks (review)";"Genetic Programming and Evolvable Machines";"Roč. 20, č. 2 (2019), s. 151-153";;1389-2576;1.781;;;RVO:67985807;1;2019;2020;UIVT-O;;;;;;10.1007/s10710-019-09350-8;000466943000001;;
0345012;C;"Vidnerová, Petra - Neruda, Roman";;"Hybrid Learning of Regularization Neural Networks";"Artificial Intelligence and Soft Computing";"S. 124-131";978-3-642-13231-5;0302-9743;;"KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2010;2011;UIVT-O;;;;;;10.1007/978-3-642-13232-2_15;000281548200015;;77955445838
0493061;J;"Vidnerová, Petra - Neruda, Roman";;"Kernel Function Tuning for Single-Layer Neural Networks";"International Journal of Machine Learning and Computing";"Roč. 8, č. 4 (2018), s. 354-360";;2010-3700;;"GA15-18108S:GA ČR";;RVO:67985807;1;2018;2019;UIVT-O;;;;;;;;;85051862837
0087497;C;"Vidnerová, Petra";;"Learning with Regularization Networks Mixtures";"Information Technologies - Applications and Theory";"S. 109-113";978-80-969184-7-8;;;"GA201/05/0557:GA ČR";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;;;;84873943585
0535711;C;"Vidnerová, Petra - Kalina, Jan";;"Least Weighted Absolute Value Estimator with an Application to Investment Data";"The 14th International Days of Statistics and Economics Conference Proceedings";"S. 1357-1366";978-80-87990-22-3;;;"GA18-23827S:GA ČR - GA19-05704S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;;;;
0432490;C;"Vidnerová, Petra - Neruda, Roman";;"Meta-Parameters of Kernel Methods and Their Optimization";"ITAT 2014. Information Technologies - Applications and Theory. Part II";"S. 99-105";978-80-87136-19-5;;;"LD13002:GA MŠk";;RVO:67985807;1;2014;2015;UIVT-O;;;;;;;;;
0568613;C;"Vidnerová, Petra - Kalina, Jan";;"Multi-objective Bayesian Optimization for Neural Architecture Search";"Artificial Intelligence and Soft Computing. 21st International Conference, ICAISC 2022. Proceedings, Part I";"S. 144-153";978-3-031-23491-0;0302-9743;;"GA22-02067S:GA ČR";;RVO:67985807;1;2023;2024;UIVT-O;;;;;;10.1007/978-3-031-23492-7_13;000972696000013;;
0534837;C;"Vidnerová, Petra - Neruda, Roman";;"Multi-objective Evolution for Deep Neural Network Architecture Search";"Neural Information Processing. ICONIP 2020 Proceedings, Part III";"S. 270-281";978-3-030-63835-1;0302-9743;;"GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-63836-8_23;;;85097448788
0534830;C;"Vidnerová, Petra - Procházka, Štěpán - Neruda, Roman";;"Multiobjective Evolution for Convolutional Neural Network Architecture Search";"Artificial Intelligence and Soft Computing. ICAISC 2020 Proceedings, Part I";"S. 261-270";978-3-030-61400-3;0302-9743;;"GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-61401-0_25;;;85096604032
0561017;A;"Vidnerová, Petra";;"Od perceptronu k hlubokým neuronovým sítím";;;;;;;;RVO:67985807;;2019;2023;UIVT-O;;;;;;;;;
0444960;C;"Vidnerová, Petra - Neruda, Roman";;"Product Multi-kernels for Sensor Data Analysis";"Artificial Intelligence and Soft Computing";"S. 123-133";978-3-319-19323-6;0302-9743;;"GA15-18108S:GA ČR";;RVO:67985807;1;2015;2016;UIVT-O;;;;;;10.1007/978-3-319-19324-3_12;000364537800012;;84958524307
systemove_cislo;druh_dokumentu;autori;autori_puvodni;nazev;zdroj_dok;cislovani;isbn;issn;if;projekt;vz;rvo;odevzdani_riv;rok_vydani;rok_sberu;vlastnik;interni_kod;technicke_parametry;ekonomicke_parametry;cislo_patentoveho_spisu;vlastnik_patentu;doi;wos;pubmed;scopus
0505494;L4;"Vidnerová, Petra";;"RBF-Keras: an RBF Layer for Keras Library";;;;;;"GA18-23827S:GA ČR";;RVO:67985807;1;2019;2020;UIVT-O;RBF-Keras;"Uživatel potřebuje nainstalovanou knihovnu Keras (http://keras.io)  a poté je možné vytvářet modely neuronových sítí způsobem obvyklým v této knihovně včetně použití naší RBF vrstvy.  Pro nastavení středů si lze vybrat s připravených inicializátorů (náhodný výběr z tréninkové množiny nebo  použití KMeans shlukování), případně uživatel může použít vlastní inicializátor.";"RBF-Keras obsahuje implementaci třídy RBFLayer, která je určena k implementaci RBF sítí a hlubokých sítí obsahujících RBF vrstvu v knihovně Keras. Jedná se o rozšíření knihovny Keras, která samotná RBF vrstvu neobsahuje. RBF-Keras usnadňuje realizaci experimentů s modely RBF sítí nebo hlubokých sítí s RBF vrstvou a umožňuje aplikaci těchto modelů.";;;;;;
0462723;C;"Vidnerová, Petra - Neruda, Roman";;"Sensor Data Air Pollution Prediction by Kernel Models";"Proceedings og the 16th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing";"S. 666-673";978-1-5090-2453-7;;;"GA15-18108S:GA ČR";;RVO:67985807;1;2016;2017;UIVT-O;;;;;;10.1109/CCGrid.2016.80;000382529800091;;84983379087
0544023;A;"Vidnerová, Petra";;"Simulace epidemiologických opatření v modelu M";"Poučení z pandemie COVID-19. Program konference";;;;;;;RVO:67985807;;2021;2022;UIVT-O;;;;;;;;;
0560964;M;"Vidnerová, Petra - Suchopárová, Gabriela - Neruda, Roman";;"Simulace epidemiologických opatření v multiagentním modelu";"Rok s pandemií covid-19";"S. 87-96";978-80-246-5273-3;;;;;RVO:67985807;1;2023;2024;UIVT-O;;;;;;;;;
0546282;C;"Vidnerová, Petra - Neruda, Roman - Suchopárová, Gabriela - Berec, L. - Diviák, T. - Kuběna, Aleš Antonín - Levínský, René - Šlerka, J. - Šmíd, Martin - Trnka, J. - Tuček, V. - Vrbenský, Karel - Zajíček, Milan";;"Simulation of non-pharmaceutical interventions in an agent based epidemic model";"Proceedings of the 21st Conference Information Technologies – Applications and Theory (ITAT 2021)";"S. 263-268";;1613-0073;;"TL04000282:GA TA ČR";;"RVO:67985807, RVO:67985556, RVO:67985998";1;2021;2022;UIVT-O;;;;;;;;;85116653044
0321587;C;"Vidnerová, Petra - Neruda, Roman";;"Testing Error Estimates for Regularization and Radial Function Networks";"Advances in Neural Networks - ISNN 2008";"S. 549-554";978-3-540-87731-8;;;"KJB100300804:GA AV ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;10.1007/978-3-540-87732-5_61;000260660500061;;59149104347
0485639;J;"Vidnerová, Petra - Neruda, Roman";;"Vulnerability of classifiers to evolutionary generated adversarial examples";"Neural Networks";"Roč. 127, July (2020), s. 168-181";;0893-6080;8.050;"GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1016/j.neunet.2020.04.015;000536453100016;32361547;85083895880
0462893;C;"Vidnerová, Petra - Neruda, Roman";;"Vulnerability of Machine Learning Models to Adversarial Examples";"Proceedings ITAT 2016: Information Technologies - Applications and Theory";"S. 187-194";978-1-5370-1674-0;1613-0073;;"GA15-18108S:GA ČR";;RVO:67985807;1;2016;2017;UIVT-O;;;;;;;;;85046294443
